Fetched 10647 Record(s) from HAMS Devices

insert into att_raw_data values('null', '2025-08-25', '1573', '1573', '', '09:00:52', '0', 'A8N5232360134', '', 'ZKT-A8N5232360134');
insert into att_raw_data values('null', '2025-08-25', '599', '599', '', '09:00:58', '0', 'A8N5232360134', '', 'ZKT-A8N5232360134');
insert into att_raw_data values('null', '2025-08-25', '318', '318', '', '09:01:08', '0', 'PAS4240900544', '', 'ZKT-PAS4240900544');
insert into att_raw_data values('null', '2025-08-25', '1025', '1025', '', '09:01:33', '0', 'A8N5232360381', '', 'ZKT-A8N5232360381');
insert into att_raw_data values('null', '2025-08-25', '1449', '1449', '', '09:01:33', '0', 'A8N5232360425', '', 'ZKT-A8N5232360425');
insert into att_raw_data values('null', '2025-08-25', '1226', '1226', '', '09:01:42', '0', 'A8N5232360425', '', 'ZKT-A8N5232360425');
insert into att_raw_data values('null', '2025-08-25', '1226', '1226', '', '09:01:43', '0', 'A8N5232360425', '', 'ZKT-A8N5232360425');
insert into att_raw_data values('null', '2025-08-25', '563', '563', '', '09:02:12', '0', 'A8N5231260147', '', 'ZKT-A8N5231260147');
insert into att_raw_data values('null', '2025-08-25', '7074', '7074', '', '09:02:19', '0', 'A8N5232360785', '', 'ZKT-A8N5232360785');
insert into att_raw_data values('null', '2025-08-25', '9013', '9013', '', '09:02:25', '0', 'A8N5232360001', '', 'ZKT-A8N5232360001');
insert into att_raw_data values('null', '2025-08-25', '1464', '1464', '', '09:02:32', '0', 'A8N5232360011', '', 'ZKT-A8N5232360011');
insert into att_raw_data values('null', '2025-08-25', '7077', '7077', '', '09:02:35', '0', 'A8N5232360379', '', 'ZKT-A8N5232360379');
insert into att_raw_data values('null', '2025-08-25', '518', '518', '', '09:02:40', '0', 'A8N5232360001', '', 'ZKT-A8N5232360001');
insert into att_raw_data values('null', '2025-08-25', '647', '647', '', '09:02:57', '0', 'A8N5232360680', '', 'ZKT-A8N5232360680');
insert into att_raw_data values('null', '2025-08-25', '791', '791', '', '09:03:12', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '9032', '9032', '', '09:03:19', '0', 'A8N5232360376', '', 'ZKT-A8N5232360376');
insert into att_raw_data values('null', '2025-08-25', '681', '681', '', '09:03:20', '0', 'A8N5232360711', '', 'ZKT-A8N5232360711');
insert into att_raw_data values('null', '2025-08-25', '1305', '1305', '', '09:03:27', '0', 'A8N5232360015', '', 'ZKT-A8N5232360015');
insert into att_raw_data values('null', '2025-08-25', '1637', '1637', '', '09:03:31', '0', 'A8N5232360566', '', 'ZKT-A8N5232360566');
insert into att_raw_data values('null', '2025-08-25', '1674', '1674', '', '09:04:23', '0', 'A8N5232360667', '', 'ZKT-A8N5232360667');
insert into att_raw_data values('null', '2025-08-25', '1030', '1030', '', '09:04:30', '0', 'A8N5232360629', '', 'ZKT-A8N5232360629');
insert into att_raw_data values('null', '2025-08-25', '224', '224', '', '09:04:33', '0', 'A8N5232360712', '', 'ZKT-A8N5232360712');
insert into att_raw_data values('null', '2025-08-25', '537', '537', '', '09:04:43', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '1363', '1363', '', '09:05:10', '0', 'A8N5232360746', '', 'ZKT-A8N5232360746');
insert into att_raw_data values('null', '2025-08-25', '1120', '1120', '', '09:05:17', '0', 'CQQC232361249', '', 'ZKT-CQQC232361249');
insert into att_raw_data values('null', '2025-08-25', '1675', '1675', '', '09:05:19', '0', 'A8N5232360653', '', 'ZKT-A8N5232360653');
insert into att_raw_data values('null', '2025-08-25', '1177', '1177', '', '09:05:36', '0', 'A8N5232360746', '', 'ZKT-A8N5232360746');
insert into att_raw_data values('null', '2025-08-25', '1521', '1521', '', '09:05:37', '0', 'A8N5232360381', '', 'ZKT-A8N5232360381');
insert into att_raw_data values('null', '2025-08-25', '7049', '7049', '', '09:05:52', '0', 'A8N5232360470', '', 'ZKT-A8N5232360470');
insert into att_raw_data values('null', '2025-08-25', '1378', '1378', '', '09:05:56', '0', 'A8N5232360134', '', 'ZKT-A8N5232360134');
insert into att_raw_data values('null', '2025-08-25', '599', '599', '', '09:06:02', '0', 'A8N5232360134', '', 'ZKT-A8N5232360134');
insert into att_raw_data values('null', '2025-08-25', '7068', '7068', '', '09:06:27', '0', 'A8N5232360639', '', 'ZKT-A8N5232360639');
insert into att_raw_data values('null', '2025-08-25', '129', '129', '', '09:06:28', '0', 'A8N5232360470', '', 'ZKT-A8N5232360470');
insert into att_raw_data values('null', '2025-08-25', '1590', '1590', '', '09:06:33', '0', 'A8N5232360381', '', 'ZKT-A8N5232360381');
insert into att_raw_data values('null', '2025-08-25', '621', '621', '', '09:06:36', '0', 'A8N5232360621', '', 'ZKT-A8N5232360621');
insert into att_raw_data values('null', '2025-08-25', '344', '344', '', '09:06:41', '0', 'A8N5232360664', '', 'ZKT-A8N5232360664');
insert into att_raw_data values('null', '2025-08-25', '499', '499', '', '09:06:45', '0', 'A8N5232360015', '', 'ZKT-A8N5232360015');
insert into att_raw_data values('null', '2025-08-25', '696', '696', '', '09:06:52', '0', 'A8N5232360653', '', 'ZKT-A8N5232360653');
insert into att_raw_data values('null', '2025-08-25', '272', '272', '', '09:06:58', '0', 'A8N5232360712', '', 'ZKT-A8N5232360712');
insert into att_raw_data values('null', '2025-08-25', '29', '29', '', '09:07:16', '0', 'A8N5231260116', '', 'ZKT-A8N5231260116');
insert into att_raw_data values('null', '2025-08-25', '9019', '9019', '', '09:07:23', '0', 'A8N5231260519', '', 'ZKT-A8N5231260519');
insert into att_raw_data values('null', '2025-08-25', '219', '219', '', '09:07:56', '0', 'A8N5232360745', '', 'ZKT-A8N5232360745');
insert into att_raw_data values('null', '2025-08-25', '1309', '1309', '', '09:08:00', '0', 'A8N5232360594', '', 'ZKT-A8N5232360594');
insert into att_raw_data values('null', '2025-08-25', '1389', '1389', '', '09:08:05', '0', 'A8N5232360610', '', 'ZKT-A8N5232360610');
insert into att_raw_data values('null', '2025-08-25', '1582', '1582', '', '09:08:07', '0', 'A8N5232360594', '', 'ZKT-A8N5232360594');
insert into att_raw_data values('null', '2025-08-25', '1050', '1050', '', '09:08:10', '0', 'A8N5232360698', '', 'ZKT-A8N5232360698');
insert into att_raw_data values('null', '2025-08-25', '1220', '1220', '', '09:08:13', '0', 'A8N5232360610', '', 'ZKT-A8N5232360610');
insert into att_raw_data values('null', '2025-08-25', '1032', '1032', '', '09:08:21', '0', 'A8N5232360680', '', 'ZKT-A8N5232360680');
insert into att_raw_data values('null', '2025-08-25', '1032', '1032', '', '09:08:23', '0', 'A8N5232360680', '', 'ZKT-A8N5232360680');
insert into att_raw_data values('null', '2025-08-25', '1615', '1615', '', '09:08:42', '0', 'A8N5232360123', '', 'ZKT-A8N5232360123');
insert into att_raw_data values('null', '2025-08-25', '567', '567', '', '09:08:43', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '1634', '1634', '', '09:08:49', '0', 'A8N5232360457', '', 'ZKT-A8N5232360457');
insert into att_raw_data values('null', '2025-08-25', '189', '189', '', '09:08:55', '0', 'A8N5232360123', '', 'ZKT-A8N5232360123');
insert into att_raw_data values('null', '2025-08-25', '662', '662', '', '09:09:09', '0', 'A8N5232360712', '', 'ZKT-A8N5232360712');
insert into att_raw_data values('null', '2025-08-25', '1377', '1377', '', '09:09:11', '0', 'A8N5232360750', '', 'ZKT-A8N5232360750');
insert into att_raw_data values('null', '2025-08-25', '159', '159', '', '09:09:14', '0', 'A8N5231260116', '', 'ZKT-A8N5231260116');
insert into att_raw_data values('null', '2025-08-25', '189', '189', '', '09:09:31', '0', 'A8N5232360123', '', 'ZKT-A8N5232360123');
insert into att_raw_data values('null', '2025-08-25', '1496', '1496', '', '09:09:49', '0', 'A8N5232360712', '', 'ZKT-A8N5232360712');
insert into att_raw_data values('null', '2025-08-25', '520', '520', '', '09:10:12', '0', '3259222240021', '', 'ZKT-3259222240021');
insert into att_raw_data values('null', '2025-08-25', '1680', '1680', '', '09:10:17', '0', 'A8N5232360958', '', 'ZKT-A8N5232360958');
insert into att_raw_data values('null', '2025-08-25', '107', '107', '', '09:10:50', '0', 'A8N5232360706', '', 'ZKT-A8N5232360706');
insert into att_raw_data values('null', '2025-08-25', '453', '453', '', '09:10:53', '0', 'A8N5232360405', '', 'ZKT-A8N5232360405');
insert into att_raw_data values('null', '2025-08-25', '223', '223', '', '09:10:53', '0', 'A8N5232360629', '', 'ZKT-A8N5232360629');
insert into att_raw_data values('null', '2025-08-25', '639', '639', '', '09:10:59', '0', 'A8N5232360958', '', 'ZKT-A8N5232360958');
